Time,410nm #1,440nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #1,670nm #1,900nm #1,410nm #2,440nm #2,470nm #2,510nm #2,550nm #2,583nm #2,620nm #2,670nm #2,900nm #2,Temperature,Humidity,Integrate time #1,Integrate time #2,MFC#1,MFC#2,MFC#3,MFC#4,dewpoint #1,dewpoint #2,chamber #1,chamber #2,410nm #1_mv,470nm #1_mv,510nm #1_mv,550nm #1_mv,583nm #1_mv,670nm #1_mv,410nm #2_mv,470nm #2_mv,510nm #2_mv,550nm #2_mv,583nm #2_mv,670nm #2_mv,Temperature_mv,Humidity_mv,ppm
2021-05-26 12:33:54,589,1725,2605,7097,10545,11754,24068,7793,5590,2625,18488,9613,30790,45629,39412,51616,16475,17122,11.0665130615,59.407043457,364.374603271,364.374603271,0.0,24.990625,25.00625,20.0,13.7939453125,-0.6103515625,9.99,16.1,589.0,2605.0,7097.0,10545.0,11754.0,7793.0,2625.0,9613.0,30790.0,45629.0,39412.0,16475.0,11.0665130615,59.407043457,0.0
2021-05-26 12:34:05,589,1727,2603,7095,10541,11750,24070,7793,5592,2627,18489,9606,30789,45619,39423,51634,16471,17128,11.0589599609,59.3627929688,364.374603271,364.374603271,0.0,24.99375,24.996875,20.0,13.7939453125,-0.537109375,10.0,16.14,589.0,2603.0,7095.0,10541.0,11750.0,7793.0,2627.0,9606.0,30789.0,45619.0,39423.0,16471.0,11.0589599609,59.3627929688,0.0
2021-05-26 12:34:16,590,1726,2605,7092,10540,11750,24058,7788,5588,2625,18485,9608,30779,45623,39422,51578,16464,17114,11.0514068604,59.4100952148,364.374603271,364.374603271,0.0,25.003125,25.003125,20.003125,13.76953125,0.390625,10.0,16.18,590.0,2605.0,7092.0,10540.0,11750.0,7788.0,2625.0,9608.0,30779.0,45623.0,39422.0,16464.0,11.0514068604,59.4100952148,0.0
2021-05-26 12:34:28,589,1726,2603,7090,10539,11750,24064,7789,5590,2623,18483,9605,30775,45614,39395,51592,16472,17112,11.0287475586,59.4024658203,364.374603271,364.374603271,0.0,25.0,24.996875,19.99375,13.76953125,0.1220703125,10.0,16.2,589.0,2603.0,7090.0,10539.0,11750.0,7789.0,2623.0,9605.0,30775.0,45614.0,39395.0,16472.0,11.0287475586,59.4024658203,0.0
2021-05-26 12:34:39,589,1727,2604,7093,10541,11752,24066,7789,5590,2626,18480,9605,30776,45622,39401,51447,16445,17112,11.0413360596,59.4131469727,364.374603271,364.374603271,0.0,25.003125,25.0,19.996875,13.76953125,-0.5859375,10.0,16.2,589.0,2604.0,7093.0,10541.0,11752.0,7789.0,2626.0,9605.0,30776.0,45622.0,39401.0,16445.0,11.0413360596,59.4131469727,0.0
2021-05-26 12:34:50,589,1727,2603,7092,10540,11752,24065,7788,5594,2626,18490,9607,30785,45620,39404,51607,16475,17114,11.0639953613,59.4635009766,364.374603271,364.374603271,0.0,25.003125,25.003125,20.0,13.7939453125,-0.6103515625,10.0,16.18,589.0,2603.0,7092.0,10540.0,11752.0,7788.0,2626.0,9607.0,30785.0,45620.0,39404.0,16475.0,11.0639953613,59.4635009766,0.0
2021-05-26 12:35:01,589,1727,2602,7092,10534,11750,24060,7791,5590,2625,18484,9605,30776,45622,39414,51442,16442,17120,11.0614776611,59.4955444336,364.374603271,364.374603271,0.0,25.00625,25.0,19.996875,13.76953125,-0.48828125,10.0,16.14,589.0,2602.0,7092.0,10534.0,11750.0,7791.0,2625.0,9605.0,30776.0,45622.0,39414.0,16442.0,11.0614776611,59.4955444336,0.0
2021-05-26 12:35:12,588,1725,2602,7094,10541,11746,24060,7791,5590,2623,18480,9609,30780,45606,39395,51615,16469,17112,11.0690307617,59.5062255859,364.374603271,364.374603271,0.0,24.99375,25.0,20.00625,13.7939453125,-0.6103515625,10.0,16.1,588.0,2602.0,7094.0,10541.0,11746.0,7791.0,2623.0,9609.0,30780.0,45606.0,39395.0,16469.0,11.0690307617,59.5062255859,0.0
2021-05-26 12:35:24,588,1726,2604,7090,10537,11750,24062,7788,5592,2626,18482,9603,30774,45607,39411,51620,16474,17122,11.0715484619,59.5932006836,364.374603271,364.374603271,0.0,25.003125,24.996875,19.996875,13.76953125,-0.390625,10.01,16.05,588.0,2604.0,7090.0,10537.0,11750.0,7788.0,2626.0,9603.0,30774.0,45607.0,39411.0,16474.0,11.0715484619,59.5932006836,0.0
2021-05-26 12:35:35,590,1726,2602,7090,10540,11754,24065,7788,5594,2626,18483,9604,30777,45607,39420,51587,16467,17114,11.0589599609,59.6099853516,364.374603271,364.374603271,0.0,24.990625,24.99375,20.003125,13.818359375,-0.390625,10.01,16.01,590.0,2602.0,7090.0,10540.0,11754.0,7788.0,2626.0,9604.0,30777.0,45607.0,39420.0,16467.0,11.0589599609,59.6099853516,0.0
