Time,410nm #1,440nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #1,670nm #1,900nm #1,410nm #2,440nm #2,470nm #2,510nm #2,550nm #2,583nm #2,620nm #2,670nm #2,900nm #2,Temperature,Humidity,Integrate time #1,Integrate time #2,MFC#1,MFC#2,MFC#3,MFC#4,dewpoint #1,dewpoint #2,chamber #1,chamber #2,410nm #1_mv,470nm #1_mv,510nm #1_mv,550nm #1_mv,583nm #1_mv,670nm #1_mv,410nm #2_mv,470nm #2_mv,510nm #2_mv,550nm #2_mv,583nm #2_mv,670nm #2_mv,Temperature_mv,Humidity_mv,ppm
2021-05-26 14:15:50,601,1811,2701,7153,10679,11876,23941,7971,5482,2752,19835,10341,31100,46353,39963,51867,16869,16760,40.7124328613,58.8623046875,364.374603271,364.374603271,0.0,25.0,25.0,19.99375,43.7744140625,14.9169921875,40.03,46.01,601.0,2701.0,7153.0,10679.0,11876.0,7971.0,2752.0,10341.0,31100.0,46353.0,39963.0,16869.0,40.7124328613,58.8623046875,0.0
2021-05-26 14:16:01,601,1811,2702,7151,10678,11876,23947,7969,5482,2751,19822,10334,31116,46359,39969,51877,16863,16768,40.7149505615,58.8943481445,364.374603271,364.374603271,0.0,25.0,24.996875,20.0,43.7744140625,14.3310546875,40.03,46.01,601.0,2702.0,7151.0,10678.0,11876.0,7969.0,2751.0,10334.0,31116.0,46359.0,39969.0,16863.0,40.7149505615,58.8943481445,0.0
2021-05-26 14:16:12,601,1812,2702,7151,10681,11878,23946,7973,5480,2753,19825,10345,31120,46351,39939,51850,16870,16764,40.7225036621,58.9019775391,364.374603271,364.374603271,0.0,25.003125,24.99375,20.003125,43.798828125,15.087890625,40.03,46.02,601.0,2702.0,7151.0,10681.0,11878.0,7973.0,2753.0,10345.0,31120.0,46351.0,39939.0,16870.0,40.7225036621,58.9019775391,0.0
2021-05-26 14:16:23,601,1811,2703,7149,10680,11878,23946,7973,5484,2752,19827,10344,31105,46363,39967,51861,16859,16753,40.7350921631,58.9065551758,364.374603271,364.374603271,0.0,25.0,25.0,20.003125,43.7744140625,14.2333984375,40.03,46.02,601.0,2703.0,7149.0,10680.0,11878.0,7973.0,2752.0,10344.0,31105.0,46363.0,39967.0,16859.0,40.7350921631,58.9065551758,0.0
2021-05-26 14:16:34,601,1813,2701,7154,10682,11878,23942,7973,5480,2755,19824,10344,31096,46345,39967,51860,16864,16765,40.7275390625,58.9019775391,364.374603271,364.374603271,0.0,25.0,25.0,20.0,43.7744140625,15.2099609375,40.02,46.01,601.0,2701.0,7154.0,10682.0,11878.0,7973.0,2755.0,10344.0,31096.0,46345.0,39967.0,16864.0,40.7275390625,58.9019775391,0.0
2021-05-26 14:16:46,602,1812,2701,7152,10680,11880,23946,7973,5480,2751,19823,10344,31104,46382,39974,51856,16866,16754,40.7401275635,58.9736938477,364.374603271,364.374603271,0.0,25.0,25.00625,20.003125,43.7744140625,15.2099609375,40.01,46.0,602.0,2701.0,7152.0,10680.0,11880.0,7973.0,2751.0,10344.0,31104.0,46382.0,39974.0,16866.0,40.7401275635,58.9736938477,0.0
2021-05-26 14:16:57,602,1811,2702,7152,10682,11877,23953,7973,5486,2752,19834,10344,31103,46353,39945,51874,16867,16757,40.7225036621,58.9569091797,364.374603271,364.374603271,0.0,25.003125,25.0,20.0,43.7744140625,14.990234375,40.01,45.99,602.0,2702.0,7152.0,10682.0,11877.0,7973.0,2752.0,10344.0,31103.0,46353.0,39945.0,16867.0,40.7225036621,58.9569091797,0.0
2021-05-26 14:17:08,600,1811,2702,7153,10681,11878,23947,7974,5482,2752,19836,10347,31098,46373,39965,51834,16863,16761,40.7199859619,58.9859008789,364.374603271,364.374603271,0.0,25.0,25.0,20.0,43.7744140625,14.7705078125,40.0,46.0,600.0,2702.0,7153.0,10681.0,11878.0,7974.0,2752.0,10347.0,31098.0,46373.0,39965.0,16863.0,40.7199859619,58.9859008789,0.0
2021-05-26 14:17:20,601,1811,2703,7151,10686,11874,23945,7972,5480,2751,19824,10345,31103,46350,39962,51895,16862,16764,40.7225036621,59.0026855469,364.374603271,364.374603271,0.0,24.996875,24.996875,20.00625,43.7744140625,14.4775390625,39.98,46.0,601.0,2703.0,7151.0,10686.0,11874.0,7972.0,2751.0,10345.0,31103.0,46350.0,39962.0,16862.0,40.7225036621,59.0026855469,0.0
2021-05-26 14:17:31,602,1813,2702,7151,10679,11876,23945,7971,5484,2749,19824,10344,31100,46359,39969,51712,16831,16763,40.7250213623,59.0408325195,364.374603271,364.374603271,0.0,25.0,24.99375,19.996875,43.7744140625,15.33203125,39.97,46.01,602.0,2702.0,7151.0,10679.0,11876.0,7971.0,2749.0,10344.0,31100.0,46359.0,39969.0,16831.0,40.7250213623,59.0408325195,0.0
2021-05-26 14:29:31,596,1803,2702,7192,10765,11492,23313,8008,5414,2750,19816,10337,31087,46347,39914,51827,16864,16739,40.7552337646,59.684753418,364.374603271,364.374603271,14.990625,10.003125,24.996875,20.0,43.7744140625,14.990234375,40.0,46.0,596.0,2702.0,7192.0,10765.0,11492.0,8008.0,2750.0,10337.0,31087.0,46347.0,39914.0,16864.0,40.7552337646,59.684753418,59.9625
2021-05-26 14:29:42,596,1801,2703,7190,10769,11494,23316,8009,5420,2751,19809,10338,31088,46350,39942,51850,16868,16747,40.7527160645,59.6923828125,364.374603271,364.374603271,14.984375,9.996875,25.0,20.003125,43.7744140625,14.16015625,40.02,46.0,596.0,2703.0,7190.0,10769.0,11494.0,8009.0,2751.0,10338.0,31088.0,46350.0,39942.0,16868.0,40.7527160645,59.6923828125,59.9375
2021-05-26 14:29:53,597,1802,2702,7193,10769,11504,23318,8008,5420,2750,19814,10339,31112,46359,39929,51828,16867,16755,40.7552337646,59.6542358398,364.374603271,364.374603271,15.0,9.996875,24.996875,20.003125,43.75,15.0146484375,40.03,46.0,597.0,2702.0,7193.0,10769.0,11504.0,8008.0,2750.0,10339.0,31112.0,46359.0,39929.0,16867.0,40.7552337646,59.6542358398,60.0
2021-05-26 14:30:05,596,1802,2701,7194,10767,11500,23310,8010,5416,2750,19808,10334,31084,46337,39917,51806,16863,16745,40.7627868652,59.4635009766,364.374603271,364.374603271,15.00625,10.009375,24.996875,19.996875,43.7744140625,14.453125,40.05,46.0,596.0,2701.0,7194.0,10767.0,11500.0,8010.0,2750.0,10334.0,31084.0,46337.0,39917.0,16863.0,40.7627868652,59.4635009766,60.025
2021-05-26 14:30:16,596,1801,2701,7192,10769,11500,23309,8010,5414,2751,19808,10333,31085,46345,39916,51824,16867,16744,40.7703399658,59.2391967773,364.374603271,364.374603271,14.990625,10.0,25.003125,20.0,43.7744140625,14.0625,40.06,46.0,596.0,2701.0,7192.0,10769.0,11500.0,8010.0,2751.0,10333.0,31085.0,46345.0,39916.0,16867.0,40.7703399658,59.2391967773,59.9625
2021-05-26 14:30:27,597,1801,2702,7195,10768,11501,23326,8010,5416,2751,19821,10340,31106,46346,39926,51830,16869,16746,40.7627868652,59.2315673828,364.374603271,364.374603271,14.98125,10.0,24.996875,20.003125,43.7744140625,14.5751953125,40.06,46.0,597.0,2702.0,7195.0,10768.0,11501.0,8010.0,2751.0,10340.0,31106.0,46346.0,39926.0,16869.0,40.7627868652,59.2315673828,59.925
2021-05-26 14:30:38,597,1802,2701,7194,10769,11504,23310,8010,5418,2751,19828,10347,31113,46350,39944,51833,16870,16746,40.7753753662,59.1567993164,364.374603271,364.374603271,15.00625,9.99375,25.0,20.0,43.798828125,14.55078125,40.06,46.02,597.0,2701.0,7194.0,10769.0,11504.0,8010.0,2751.0,10347.0,31113.0,46350.0,39944.0,16870.0,40.7753753662,59.1567993164,60.025
2021-05-26 14:30:50,596,1801,2702,7192,10766,11494,23317,8014,5416,2750,19810,10338,31101,46338,39930,51806,16862,16755,40.7678222656,59.1339111328,364.374603271,364.374603271,15.0,9.990625,25.00625,19.996875,43.7744140625,15.087890625,40.06,46.02,596.0,2702.0,7192.0,10766.0,11494.0,8014.0,2750.0,10338.0,31101.0,46338.0,39930.0,16862.0,40.7678222656,59.1339111328,60.0
2021-05-26 14:31:01,596,1804,2703,7196,10768,11488,23306,8010,5418,2754,19826,10340,31091,46345,39944,51844,16865,16755,40.7804107666,59.1506958008,364.374603271,364.374603271,14.990625,10.0,25.0,20.003125,43.7744140625,14.5263671875,40.06,46.02,596.0,2703.0,7196.0,10768.0,11488.0,8010.0,2754.0,10340.0,31091.0,46345.0,39944.0,16865.0,40.7804107666,59.1506958008,59.9625
2021-05-26 14:31:12,598,1804,2701,7188,10766,11486,23302,8010,5416,2749,19823,10340,31088,46343,39945,51825,16858,16742,40.7778930664,59.1674804688,364.374603271,364.374603271,15.015625,9.99375,25.0,20.0,43.7744140625,14.8193359375,40.05,46.01,598.0,2701.0,7188.0,10766.0,11486.0,8010.0,2749.0,10340.0,31088.0,46343.0,39945.0,16858.0,40.7778930664,59.1674804688,60.0625
2021-05-26 14:49:36,597,1805,2702,7183,10750,11538,23400,8005,5424,2753,19812,10344,31079,46326,39927,51802,16860,16748,40.7879638672,59.3994140625,364.374603271,364.374603271,6.24375,18.75,24.996875,19.996875,43.798828125,14.7705078125,40.03,45.99,597.0,2702.0,7183.0,10750.0,11538.0,8005.0,2753.0,10344.0,31079.0,46326.0,39927.0,16860.0,40.7879638672,59.3994140625,24.975
