,ratio_ref,ratio_target,parameter,parameter difference
QC1,0.9933596911795631,0.9981999712548136,0.9951509915701902,0.0
QC2,0.9894918129241291,0.9906011513858273,0.998880136107104,0.0037291445369138643
QC3,0.9859676866172746,0.9914404857744735,0.994479951912672,-0.0006710396575181354
QC4,0.9800769657824066,0.9880556462038333,0.9919248673370965,-0.0032261242330936524
QC5,0.9829151584701034,0.9848471927297443,0.9980382395625398,0.0028872479923496286
QC6,0.978910120190403,0.981449217204247,0.9974129104498377,0.002261918879647551
QC7,0.9782561218301461,0.9705352067112453,1.0079553168865083,0.012804325316318144
